DocId;name_eng;situation;prefix;position_source;Institution;sublevel;category_main;category;city;province;Hypoth_year;StartYear;Start_Month;EndYear;post_no;position_level;position_category
imh-11-173;Sun, Pao-Kien;US;Student;Student Engineer;American Telephone and Telegraph Company;;business;business: company;;United States;1912;1912;;;4;Student;technical
imh-11-225;Chang, Ting-Chin;US;Student;Student Engineer;Boston Edison Company;;business;business: company;Boston;United States;1914;1914;;1915;5;Student;technical
imh-11-360;Chung, Mon-Yin;US;;Student Engineer;Carnegie Steel Company;;business;business: company;;United States;1914;1913;;1915;3;Student;technical
imh-11-170;Sun Hyien-Way;US;;Student Engineer;Empire Iron and Steel Company;;business;business: company;New York;United States;1912;1912;;;;Student;technical
imh-11-33;Chu, Peng-Shou;US;;Student Engineer;General Electric Company;;business;business: company;;United States;1913;1913;;1914;2;Student;technical
imh-11-262;Shu, Sawland J.;US;Student;Student Engineer;General Electric Company;;business;business: company;;United States;1913;1913;;;2;Student;technical
imh-11-90;Chin, Yushu;US;;Student Engineer;General Electric Company;;business;business: company;;United States;1910;1910;;;;Student;technical
imh-11-170;Sun Hyien-Way;US;;Student Engineer;Lehigh Valley Coal Company;;business;business: company;;United States;1913;1913;July;;;Student;technical
imh-11-380;Yen, Te-Ching;US;;Student Engineer;Min. R.R. and Mining Company;;business;business: company;;United States;1900;1900;;;;Student;technical
imh-11-232;Fu, Chung Chio;US;Student;Student Engineer;Paige-Detroit Motor Car Company;;business;business: company;Detroit;United States;1915;1915;;;1;Student;technical
imh-11-300;Lay, I-Lun;US;Student;Student Engineer;Western Electric Company;;business;business: company;Chicago;United States;1910;1910;;;;Student;technical
imh-11-173;Sun, Pao-Kien;US;Student;Student Engineer;Western Electric Company;;business;business: company;;United States;1911;1911;;1912;4;Student;technical
imh-11-339;Dunn, Frank B.;US;;Student Engineer;Western Electric Company;;business;business: company;;United States;1913;1913;;1915;;Student;technical
imh-11-300;Lay, I-Lun;US;Student;Student Engineer;Westinghouse Electric and Manufacturing Company;;business;business: company;East Pittsburg, Pa;United States;1911;1911;;;;Student;technical
imh-11-169;Sun, Chi-Ting;US;;Student Engineer;Westinghouse Electric and Manufacturing Company;;business;business: company;;United States;1916;1915;;1916;;Student;technical
imh-11-26;Cheng, Gung-Yi;US;Student;Student Engineer;Ann Arbor Gas Station;;facility;facility: station;Ann Arbor;United States;1915;1915;;;;Student;technical
imh-11-360;Chung, Mon-Yin;US;;Student Engineer;Homestead Steel Works;;industry;industry: works;;United States;1913;1913;;1915;3;Student;technical
imh-11-232;Fu, Chung Chio;US;Student;Student Engineer;Jeffery Motor Works;;industry;industry: works;Detroit;United States;1916;1916;;;2;Student;technical
imh-11-380;Yen, Te-Ching;US;;Student Engineer;Pencoyd Steel Works;;industry;industry: works;;United States;1902;1901;;1902;;Student;technical
imh-11-169;Sun, Chi-Ting;US;;Student Engineer;General Railway Signal Company;;railway;railway: abroad;;United States;1915;1915;;1916;2;Student;technical
imh-11-163;Lin, D. Y.;US;Student;Student Forester;Great Southern Lumber Company;;business;business: company;;United States;1914;1914;;;2;Student;technical
imh-11-153;Kao, L. K.;US;;Student Manager;Erie Railroad;;railway;railway: abroad;;United States;1915;;;1916;;Student;managerial
imh-11-153;Kao, L. K.;US;;Student Manager;Illinois Central Railway;;railway;railway: abroad;;United States;1914;;;1916;;Student;managerial
imh-11-23;Stone, Mary;US;;Superintendent;Danforth Hospital;;facility;facility: health;;;1902;1902;;1916;2;Senior;managerial
imh-11-345;Liu, Jui-Heng;US;;Surgical Interne;Boston City Hospital;;facility;facility: health;Boston;United States;1913;1913;;1915;4;Student;other
imh-11-330;Tsai, Hsiang;US;;Surveyor;Colorado Mining Company;;business;business: company;;United States;1914;1914;;;2;Mid-level;technical
imh-11-158;Liang, Foo-Tso;US;;Teacher;Syracuse Social Settlement;;other;other: social work;Syracuse;United States;1914;1914;;;7;Mid-level;academic
imh-11-354;Lo, King-Tai;US;;Tester;New York State Highway Commission;;administration;administration: commission;New York;United States;1915;1915;;;4;Junior;technical
imh-11-143;Zee, J. Z;US;;Tester;General Electric Company;;business;business: company;;United States;1915;1915;;1916;3;Junior;technical
imh-11-100;Chow, Lun-Yuen;US;;Tester;Ingersoll Rand Company;;business;business: company;Phillisburg;United States;1913;1913;;;3;Junior;technical
imh-11-398;Koo, V. Tsing;US;;Tester;Kellogg Switch-Board and Supply Company;;business;business: company;;United States;1914;1914;;;;Junior;technical
imh-11-38;Chu, V. G;US;;Testing Engineer;Western Electric Company;;business;business: company;New York;United States;1914;1914;;;5;Junior;technical
imh-11-137;Hsu, Mongton;US;;Traffic Student;Pennsylvania Railroad Company;;business;business: company;Pennsylvania;United States;1913;1913;;;;Student;technical
imh-11-277;Tu, T. W;US;;Transitman;Chicago Alton Railway;;railway;railway: abroad;Chicago;United States;1909;1909;;;;Mid-level;technical
imh-11-100;Chow, Lun-Yuen;US;;Underground helper;La Salle Carbon and Coal Company;;business;business: company;Phillisburg;United States;1915;1915;;;4;Junior;technical
imh-11-21;Wong, William;US;;Worker;Golden Cycle Mining Company;;business;business: company;Colorado;United States;1911;1910;;;3;Junior;technical
imh-11-21;Wong, William;US;;Worker;Independence Gold Mine;;industry;industry: mines;Colorado;United States;1910;1910;;;3;Junior;technical
imh-11-158;Liang, Foo-Tso;US;;Worker;Syracuse Social Settlement;;other;other: social work;Syracuse;United States;1914;1914;;;7;Junior;technical
imh-11-9;Wang, Ching-Chun;OTHER;;Investigator;Board of Trade;;government;government: central;London;England;1910;1909;;1911;;Mid-level;technical
imh-11-9;Wang, Ching-Chun;OTHER;;Investigator;North Western Railway;;railway;railway: abroad;London;England;1908;1909;;1911;;Mid-level;technical
imh-11-202;Chen, Tao-Yuan K.;OTHER;;Draftsman;Vickers, Ltd.;;business;business: company;;England;1910;1910;;1912;;Mid-level;technical
imh-11-131;Bow, George Y. S;US;;Captain;Vermont National Guard;First Cavalry;military;military: foreign;;United States;1914;1914;;1914;;Mid-level;military
imh-11-131;Bow, George Y. S;US;;Sergeant;Norwich University Cadets Corps;;education;education: military;;United States;1913;1913;;1914;;Junior;Military
imh-11-129;Sze, Tsannyuen;US;Resident;Resident Physician;Columbia Hospital for Women;;facility;facility: health;Washington, D.C.;United States;1915;1915;;1916;;Mid-level;other
imh-11-26;Cheng, Gung-Yi;US;;Research Chemist;Detroit Ford Motor Company;;business;business: company;Detroit;United States;1916;1916;;;;Mid-level;technical
imh-11-110;Yeh, Ting Shien;US;;Tester;General Electric Company;;business;business: company;;United States;1914;1914;;1915;;Junior;technical
imh-11-270;Mei, Y. C.;US;;Tester;General Electric Company;;business;business: company;Schenectady;United States;1913;1913;;;;Junior;technical
imh-11-129;Sze, Tsannyuen;US;;Interne;George Washington University Hospital;;education;education: higher;Washington, D.C.;United States;1914;1914;;1915;;Student;academic
imh-11-137;Hsu, Mongton;US;Chief;Chief Manager;Tschen Pao;;media;media: daily;;United States;1914;1914;;1915;;Senior;other
imh-11-17;Wang, Shing-Tso;US;;Apprentice;Baldwin's Locomotive Works;Machine Shop and Drawing Room;industry;industry: works;;United States;1911;1911;;1912;;Student;technical
imh-11-366;Kuang, Ying-Chieh;US;;Delegate;International Engineering Congress;;event;event: conference;San Francisco;United States;1915;1915;;1916;;Mid-level;representative
imh-11-370;Shae, Shaoying;OTHER;;Delegate;International Railway Conference;;event;event: conference;Berne;Switzerland;1910;;;;;Mid-level;representative
imh-11-227;Chang, Yü-Chüan;OTHER;;Attaché;Investigation of Constitutional Government;Chinese High Commissioners to Europe and America;government;government: central;;;1905;1905;;1906;;Junior;administrative
imh-11-108;Ling, Pyau;OTHER;;Interpreter;Ministry of Foreign Affairs;Chinese Legation at Berlin;government;government: central;Berlin;Germany;1914;1914;;1916;;Mid-level;administrative
