name:full;birth:location;birth:year;education:location:0;education:year:0;education:location:1;education:year:1;education:location:2;education:year:2;position:job:0;position:job_location:0;position:job_year:0;position:job:1;position:job_location:1;position:job_year:1;position:job:2;position:job_location:2;position:job_year:2;position:job:3;position:job_location:3;position:job_year:3;position:job:4;position:job_location:4;position:job_year:4;position:job:5;position:job_location:5;position:job_year:5;position:job:6;position:job_location:6;position:job_year:6;position:job:7;position:job_location:7;position:job_year:7;position:job:8;position:job_location:8;position:job_year:8;position:role;position:role_location;position:role_year
Wang, Chung-Hui;Kwangtung;1882;Peiyang University;_;Tientsin;_;_;_;Minister of Foreign Affairs;_;_;Minister of Justice;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Wang, Chung-Yu;Hongkong;1879;Queen's College;_;Peiyang University;_;_;_;Commissioner of Industry and Commerce;_;_;Superintendent;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Wang, En-Tse;Tientsin;1883;Peiyang University;_;Tientsin;_;_;_;Law;_;_;Studied Political Science;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Wang, Kan-Ho;Foochow, Fukien;1886;Anglo-Chinese College;1899-1906;_;_;_;_;Teacher;Anglo-Chinese College, Foochow;1906-9;Teacher in Economics;Anglo-Chinese College, Foochow;1912-14;Superintendent;Methodist Central Church;1915;College;Foochow;1899-1906;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Wang, Lingoh;Peking;1879;University of North Carolina;_;Economics;_;_;_;Commissioner of Foreign Affairs;Tientsin;1914-16;Departmental Chief;Bureau of Foreign Affairs, Wuchang;1912;Bureau of Foreign Affairs;Wuchang;_;Councillor's Department, Ministry of Foreign Affairs;_;1917;Special;Tientsin;1914-16;Affairs;Tientsin;_;_;_;_;_;_;_;_;_;_;_;_;_
Wang, Pih;Mei-Hsien, Kwangtung;1883;Yu Tsai School;1900-3;Shanghai;1900-3;the University of California;1904-6;Ministry of War;_;1913;Mechanical Engineer;Cornell Univer- sity;1906-11;Shop Manager;Peking-Kalgan Railway, Nankou;1914;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Wang, Shao-Ying;Canton;1888;Li Shing Scientific College;1904-7;Tangshan Railway and Engineering College;1907-9;, August, 1910. Government support. Studied Mining at Colorado School of Mines;1910-13;Professor of Mining;Government University, Peking;1914;Technical Expert;Mining Office of the First District, Peking;1914-15;Mining;_;_;University;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Wang, Shing-Tso;Canton;1881;Peiyang University;1899-1900;St. John's University;1902-3;Tientsin;1899-1900;Locomotive Superintendent;Peking-Kalgan Railway;1914;Mechanical Engineering;Cornell University;1907-11;Machine Shop and Drawing Room Apprentice, Baldwin's Locomotive Works;_;1911-12;Mechanical Engineer;Cornell University;1907-11;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Wang, Song-Hai;Chinkiang, Kiangsu;1890;Chen Chih School;_;Chinkiang;_;_;_;Superintendent of Con- struction Work;Standard Oil Co. of N. Y., Shanghai;1915;Govern- ment support. Studied Mechanical Engineering;University of Michigan;1910-14;Specification Writer;Standard Oil Co. of N. Y., Shanghai;1914;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Wong, John;Peking;1884;St. John's Univer- sity;1900-4;Industrial College;1908-9;Shanghai;1900-4;Instructor, Industrial College;Tientsin;1908-9;Teacher;Tientsin;1908-9;Manager;North China Tanning Co., Tientsin;1917;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Wong, Perry;Shanghai;1884;Nanyang College;_;, 1908. Partial government support. Studied Mining at the University of California;_;_;_;Instructor;Chihli Technical College, Tientsin;1904-8;Chemical Engineering;University of Michigan;1910-12;High School;Chengtu;1904-8;Chihli Technical College;Tientsin;1914;Assistant Chemist;Fletcher Paper Mill, Alpena, Michigan;1912-14;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Wong, William;Hsiangshan, Kwangtung;1890;Boone University;1906-9;Colorado College;1909-11;Mining Engineering;1909-11;Mining Engineer;Tayeh Iron Mines, Hupeh;1914;Mining and Metallurgy;Columbia University;1913-14;Independence Gold Mine;Colorado;1910;1914;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Yu, T. M.;Soochow, Kiangsu;1887;Soochow University;_;Min-Che University;_;_;_;Director, Agricultural Experiment Station;_;_;Agriculture;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Stone, Mary;Kiukiang;1873;Missionary Schools;1881-92;Kiukiang and Chingkiang;1881-92;Uni- versity of Michigan;1892-96;Physician;Kiukiang Hospital;1896;Superintendent, Danforth Hospital, 1902- 16. Awarded Graduate Fellowship in Medicine;Johns Hopkins Uni- versity;1902- 16;Instructor in Medicine;_;1908-11;Hospital;Kiukiang;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Sze, Vong-Pau;Quinsan, Kiangsu;1891-1900;MeTyeire School;1891-1900;Shanghai;1891-1900;Soochow Medical School;1902-3;Assistant Principal;Shanghai;1904-5;Teacher;McTyeire School;1910-12;Assistant Principal;Shanghai;1904-5;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Sze, Vong-Tsu;Quinsan, Kiangsu;1905;McTyeire School;1905;Music at the Institute of Musical Art;1907-10;Shanghai;1905;Instructor in Music;_;1910;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Cheng, Gung-Yi;Yangchow, Kiangsu;1890;Nanking Christian College;1901;_;_;_;_;Editor;_;_;Research Chemist;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chu, Chao-Hsin;Canton;1880;Kwang Ya College;1894-1903;Government University;1903-7;Canton;1894-1903;Professor;Government University, Peking;1913;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chu, Chimin Fuh;Shanghai;1888;Soochow University;1904-6;Kiangsu Railway College;1907-9;Soochow;1904-6;Teacher;Yuan Chow Middle School;1906;School;Soochow University;1904-6;Deputy, National Oil Administration;Peking;1914-15;Accountant;Fu Chung Corporation, Chiaotso, Honan;_;Engineering;Lehigh University;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chu, Chin;Wusih, Kiangsu;1885;Soochow University;1908-10;_;_;_;_;Professor of Sociology;_;_;Government Teachers' College;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chu, F. I;Shanghai;1888;Nanyang Middle School and Nanyang College;_;University of Wis- consin;1911-14;Shanghai;_;Associate Member, American Institute of Electrical Engineers;_;1914;Engineer;Hanyang Iron and Steel Works, Hanyang, Hupeh;_;Hanyang Iron and Steel Works;Hanyang, Hupeh;present;Studied Electrical Engineering;University of Wis- consin;1911-14;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chu, Kung-Chao;Nanking;1881;Nanyang College;1900-3;Peiyang University;1903-6;Shanghai;1900-3;Teacher of Political Science;Hunan Kwang Yee School, Changsha;1912-14;Teacher of Political Science;Hunan Kwang Yee School, Changsha;1912-14;Teacher of English;Poly- technic Institute, Shanghai;1912;International Law and Political Economy;University of Wisconsin;1909-10;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chu, Loh;Wusih, Kiangsu;1888;Soochow University;1908-10;University of Wisconsin;1910-13;Soochow;1908-10;Instructor, First Agricultural College;Nanking;1916;Mathematics;Columbia University;1913-16;Member;Wisconsin Mathematics Club;1912-13;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chu, Peng-Shou;Soongkiang, Kiangsu;1892;Nanyang College;1909-13;English Language School;1906-9;Soochow;1906-9;Electrical Engineer;Shanghai;1914-15;Engineer, Western Electric Co;_;1915;Editor, Chinese Industrial World;_;1916;Electrical Engineering;Union College;1914-15;Student Engineer;General Electric Co;1913-14;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chu, Ponson;Shanghai;1885;St. John's University;_;Central High School;_;_;_;Ministry of Commerce and Industry;Shanghai;1911;Member;Yale University Club;1906-9;Legal Practitioner;Shanghai;1916;President;Yale Chinese Students' Club;1907-8;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chu, S. C.;Hankow;1884;Boone University;1901-7;Yale University;1907-10;St. John's University;1901-7;Ministry of Communications;Peking;1912;Junior Clerk;Peking;1912;Secretary to Engineer;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chu, Ting Chi;Chuensha, Kiangsu;1886;Nanyang College;1898-1903;Peiyang University;1903-6;Shanghai;1898-1903;Councillor, Ministry of Industry and Commerce;_;1912-13;Commissioner to Panama Exposition, January to May, 1914. English Secretary;Shanghai- Hangchow-Ningpo Railway;1914;Business Administration;_;1909-11;President, Chinese Students' Alliance;_;1909-10;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chu, Tsu-Hung;Soochow;1882;Soochow University;_;Peiyang University;_;_;_;Clerk of the Ministry of Agriculture and Commerce;_;_;Senior Clerk, Ministry of Finance;_;present;Junior;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chu, V. G;Nanhui, Kiangsu;1889;Nanyang Middle School;_;Min Li Middle School;_;_;_;Editor;Shanghai;1906-9;American Institute of Electrical Engineers;_;1914;Editor-in-Chief;Shanghai;1916;Engineering;_;_;Testing Engineer;The Western Elec- tric Co;1914;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Jee, S. Pond M;San Francisco;1882;University of California;1904-8;University of California;1904-8;Harvard University;1908-9;Resident Physician;Tangshan Railway and Engineering College, Tangshan;1910-11;Chief Medical Officer;Mancouli Hospital, Manchuria;1911-12;Manager, Western Chinese Students' Alliance Journal;_;1905;Eye Surgeon;Peking-Mukden Line, Tien- tsin;1913;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Jee, Shien-Yien;San Francisco, California;1883;University of California;1903-7;Harvard University;1907-9;Economics;1903-7;Professor of English and Economics;Tangshan Railway & Engineering College, Tangshan;1910-11;Secretary, Congress Debating Society;_;1905-7;Secretary, Ministry of Finance;_;1912;"Ministry of Finance, 1912; The Currency Reform Commission, Ministry of Finance";_;1912;College;University of California;1903-7;Associate Editor;_;1906;_;_;_;_;_;_;_;_;_;_;_;_
Tsu, Wen-Shion;Soochow, Kiangsu;1883;Soochow Provincial College;1902-8;Nanyang Middle School;1902;Partial government support. Studied Mathematics at the University of Wisconsin;1908-12;Teacher of Mathematics;Nanyang Railway and Mining College;1913;President, Wisconsin Chinese Students' Club;_;1911-12;Mathematics;_;1908-12;"College, 1913; Nanyang College";_;1915;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Tsu, Yu-Yue;Shanghai;1886;St. John's Uni- versity;_;St. John's University;_;_;_;Chaplain and Professor;St. John's University, Shanghai;1912;Preacher;Wusih;1907-9;Chairman, Chinese Students' Christian Association;_;1910-11;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chüan, S. H;Tungchow, Chihli;1884;Union Arts College;1891-98;Peiyang University;1899-1900;Tungchow;1891-98;Medical Officer;India and Tibet Mission;1905-7;Professor;Peiyang Medical College;1907;Director;Army Medical College, Tientsin;1914;Public Health and Hygiene;Harvard University;1912-14;Surgeon- General;_;1914;Senior Medical Officer;the Plague Campaign in Manchuria;1910- 11;College;Tungchow;1891-98;_;_;_;_;_;_;_;_;_
Ju, Jên-Hao;Wookiang, Kiangsu;1882;Peiyang University;_;Tientsin;_;_;_;Officer of Ceremonies;President's Office;1914;School;Peiyang University, Tientsin;1897-1900;Engineer: Honston-Galveston Interurban Line;_;1910;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Kian, Zau;Tai-Chang, Kiangsu;1891;St. John's University;1904-7;Shanghai;1904-7;Lehigh University;1912-15;Teacher in Mining;Changsha Polytechnic Institute;1915;Mechanical Engineer;Standard Oil Company, Shanghai;1915;Mining Engineering;Lehigh University;1912-15;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Wu, Chao-Chu;Tientsin, Chihli;1886;Force School;1897-1900;Western High School;1900-2;Washington, D.C.;1897-1900;Ministry of Industry;_;1905-7;Commissioner of Foreign Affairs;_;1912;Ministry of Agriculture, Industry and Commerce;_;1907;Ministry of Foreign Affairs;_;1916;Member;Ministry of Industry;1913-14;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Ng, Chee-Wu;Sunning, Kwangtung;1885;Salem Public School;_;School, 1907-9. Studied Civil Engineering at Rensselaer Polytechnic Institute;_;_;_;Teacher;Tangshan Railway and En- gineering College;1914;College;Salem Public School;1899-1906;Civil Engineering;Rensselaer Polytechnic Institute;1909-13;China;_;1913;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Yin, C.P.;Wookiang, Kiangsu;1880;Com- mercial School;1906;University of Illinois;1906-11;Tokio;1906;Ministry of Communications;_;1913;Adviser on Foreigh Affairs;General Lan Tien Wei;1912;Associate Director;Peking-Suiyuan Railway;1916-17;Director;_;1917;Member, Commission on the Unification of Railway Accounts and Statistics;_;1913;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Ho, Chieh;Canton;1888;Can- ton Christian College;1903-6;_;_;_;_;Professor of Mining and Metallurgy;_;_;Mining and Metallurgy;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Ho, Kim-Tong;Honolulu, Hawaii;1888;Oahu College;1903-7;_;_;_;_;Exchange Teller;_;_;Insurance Agent;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Ho, Lin-Yi;Shanghai;1888;St. John's Uni- versity;1899-1908;_;_;_;_;Instructor;Admiralty Headquarters, Woosung;1908-9;Librarian;St. John's University;1907-8;Associate Editor;St. John's Echo;1907-8;Teacher;Admiralty Headquarters, Woosung;1912;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Ho, P. S;Kinhua, Chekiang;1890;Kinhua High School;_;Chekiang Provincial College;_;_;_;Instructor;Kinhua High School;1912;School;Kinhua High School;1903-6;Vice-President;Chinese Students' Club;1914;Department of Political Science;Wisconsin;1914-15;Chinese Students' Club;_;1914;Editor, Chinese Students' Quarterly, 1914-15. Returned to China;_;1916;_;_;_;_;_;_;_;_;_;_;_;_
Ho, Yen-Sun;Canton;1877;Shih Min School;1899-1910;Government University;1902-7;Canton;1899-1910;Ministry of Agriculture, Industry and Commerce;_;1907;member;Chinese Students' Club;_;Manager;Oil Administration, Peking;1914-15;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Hsin, Chee-Sing;Chen-Hsien, Chekiang;1887;Hangchow High School;_;Chihli Provincial College;_;_;_;Naval Architect;New York Ship-building Co;1913;Manager, Chinese Students' Quarterly;_;1912 and 1915;Engineer;Taku Dock, Tientsin;1907;Machinist;Fore River Ship-building Corporation;1915;Editor;_;_;Naval Architecture;New York Ship-building Co;1913;President, M. I. T. Chinese Students' Club;Shanghai;1915;Taku Dock;Tientsin;1907;_;_;_;_;_;_
Hsin, H. Henry;Shanghai;1888;St. John's University;_;Shanghai;_;_;_;Assistant teacher;St. John's Preparatory Department;1907;Ministry of Communications;_;1912-13;Assistant Engineer;I-Kwei Section, Szechuen-Hankow Railway;1912;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Lee, Beiyao Tsanchi;Shanghai;1877;Dio- cesan School;1891-94;Queen's College;1895;Peiyang University;1896-99;Assistant Engineer;Canton-Hankow Railway;1903;Teacher in English. English Educational School, Canton, 1901. Teacher in Mathematics;Canton;1901;Canton-Hankow Railway;_;1903;Engineer;_;1910;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Lee, Arthur Yum;Hao-Shan, Kwangtung;1885;State Normal School;1907-9;Mechanical En- gineering at Drexel Institute;1909-14;Pennsylvania;1907-9;Mechanical En- gineering;Drexel Institute;1909-14;China;_;November, 1914;Studied;State Normal School;1907-9;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Lee, Ben Y;Sunning, Kwangtung;1876;Valparaiso University;_;_;_;_;_;President, Pearle River Academy;_;_;China;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Lee, Hunfy D.;Shanghai;1888;Anglo-Chinese College;_;St. Xavier College;_;_;_;Teacher of English;Christian College, Shanghai;1905-6;Chinese Maritime Customs;Shanghai;1906-9;Clerk;Chinese Maritime Customs;1909-10;Secretary, Sungkiang District Inspectorate of Chinese Government Salt Revenues;_;1915;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Lee, J. T.;Sunning, Kwangtung;1885;District School, Sunning;1890-96;New York University;1903-7;the;1890-96;Teacher;First Commercial School of Kiangsu;1910-11;Vice-Consul to the Philippine Islands;_;1917;Bank of Territorial Development;Shanghai;1914-15;Languages;_;_;Teacher;First Commercial School of Kiangsu;1910-11;English Secretary;Bank of Territorial Development, Shanghai;1914-15;_;_;_;_;_;_;_;_;_;_;_;_
Lee, Joe F.;Hsiangshan, Kwangtung;1884;Hongkong;_;Louisville Preparatory School;_;_;_;Medical Practitioner;Hongkong;1914;Professor of Bacteriology and Pathology;Kung Yee Medical College, Canton;1915;Associate Editor, China Medical Journal;_;1915;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Lee, Soong-Dau;Kiading, Kiangsu;1889;St. John's University;_;Shanghai;_;_;_;Instructor;_;_;Assistant;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Lee, The-Tsing;Kweiling, Kwangsi;1886;Nanyang College;1902-7;Shanghai;1902-7;Cornell University;1908-12;Teacher;_;_;Assistant Engineer;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Lee, T. H;Amoy;1872;Anglo-Chinese School;1890;Ohio Wesleyan University and Yale University;1892-99;Graduated;1890;Dean;Shanghai;_;President;Shanghai;1904;College;Anglo-Chinese School;1892-99;Once;Shanghai;1904;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Lee, Yik-Shun;Canton;1886;Kwangtung High School;1902-5;Liangkwang Educational Mission School;1905-6;Canton;1902-5;Mining Engineer;Huang-Tan-Ling Gold Mines, Kwangtung;1913-14;Geology and Mining;Cornell University;1909-12;Gold Mines;Kwangtung;1913-14;Government Mining Department;Can- ton;1912-13;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Lee, Ying-Nan;Canton;1879;St. Paul's College;1889-93;Queen's College;1893-94;Peiyang University;1894-1900;Draftsman;Post Office, Dalny;_;Department of Public Works;Kwangtung;1911-12;Teacher of Mathematics;Chili Provincial College, Paoting;1903-4;Chief Surveyor, Bureau of Public Works;Tientsin;1904-5;Engineer;_;_;Head;Post Office, Dalny;_;_;_;_;_;_;_;_;_;_;_;_;_
Lee, Z. V;Ningpo;1889;Anglo-Chinese College;1901;St. John's University;1902-9;Shanghai;1901;Teacher in English;Sungkiang Middle School;1909- 10;Reporter;Shanghai;1911-13;Chief Secretary;Liangche Inspectorate of Salt Revenues, Hangchow;1914;Staff;China Press, Shanghai;1911-13;Inspectorate of Salt Revenues;Hangchow;1914;China Press;Shanghai;1915-16;_;_;_;_;_;_;_;_;_;_;_;_
Li, Fei-Ing;Foochow;1888;Che-li School;1902-7;Hsinghua;1902-7;Rochester East High School;1907-8;Professor of English;Tangshan Rail- way and Engineering College;1916;Dean, Pri- mary Normal School;Hsinghua;1912-13;Instructor in English;Foochow Y.M.C.A. School;1913-16;Dean;Foochow Y.M.C.A. School;1913-16;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Li, Kien-Yo;Kaifong, Honan;1885;Honan Provincial College;1902-4;Aurora College;1904-5;Fu Tan College;1905-7;Assistant Engineer;Nanking-Hunan Railway;1915-16;Railway;_;_;Engineer of Reconstruction Works, Hankow, 1912. Section Engineer and District Engineer;Nanch'in Railway, Kiukiang;1912;Military Engineer;Nanking;1912;Treasurer;Cornell Chinese Students' Club;1907-11;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Li, Ming-Ho;Tungtai, Kiangsu;1887;Anglo-Chinese College;1903-4;Nanyang College;1904-7;Shanghai;1903-4;Assistant Engineer;Hanyang Iron and Steel Works;1914;English Secretary;_;1914;Chinese Commission to the Panama Pacific International Exposition;_;1914;Hanyang Iron and Steel Works;_;1914;Teacher in English;Public School, Huchow;1907-8;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Li, R. J;Tangshan, Chihli;1888;Methodist University;1901-6;Peking;1901-6;De Pauw University;1906;Professor;Tangshan Railway and Engineering College, Tang- shan;1912;Tangshan Railway and Engineering College;Tang- shan;1912;Engineer-in-Chief of the Peking-Kalgan Rail- way;_;1915;Secretary;_;_;China;_;August, 1911;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Li, S. D.;Hofei, Anhui;1891;Anhui Provincial College;1907-8;Government University;1909-10;Anking;1907-8;Teacher;Hunan Polytechnic Institute;1915;Editor, Chinese Students' Quarterly;_;1914-15;Institute;Anhui Provincial College;_;Mechanical Engineering;Massachusetts Institute of Technology;1910-15;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Li, Sung-Chuan;Shanghai;1886;Peiyang University;_;Nanyang Middle School;_;_;_;Professor;Government Polytechnic Institute;1913;Manager;Chinese Students' Monthly;1909-11;Electrical Engineering;Harvard University;1906-11;Student Apprentice;General Electric Co;1911-13;Chinese Students' Monthly;_;1909-11;Government Polytechnic Institute;Fu Tan College;1913;_;_;_;_;_;_;_;_;_;_;_;_
Li, Tsing-Meu;Honolulu, Hawaii;1884;Oahu College;1898-1902;St. John's University;1902-7;Honolulu;1898-1902;Professor;University Medical School, Canton;1909-13;Physician;Union Medical Hospital, Peking;_;Medicine;_;_;Clinical Medicine;_;June, 1909;School;Oahu College;1898-1902;Physician;Union Medical Hospital, Peking;_;_;_;_;_;_;_;_;_;_;_;_;_
Seng. S. T. Y;Chungchow, Szechuen;1887;Boone University;_;Wuchang;_;_;_;Assistant Librarian;Boone University;1910-14;Associate Librarian;Boone University Library, Wuchang;1916;Assistant Librarian;Boone University;1910-14;Library Administration;Library School, New York;1914-16;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Shen, Pao-Shen;Shanghai;1884;St. John's University;_;Shanghai;_;_;_;Secretary, Bureau of Foreign Affairs;Shanghai;1912;Secretary, Bureau of Foreign Affairs;Shanghai;1912;League to Enforce Peace;_;1916;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
